Temperature - monthly avg,Rainfall - monthly avg,Humidity (%) - montly avg,Wind Speed - monthly avg,Crop Yield,Acreage,Nitrogen Soil Presence,Potassium Soil Presence,Phosphorus Soil Presence,Lbs. Nitrogen Fertilizer,Lbs. Phosphorous Fertilizer,Lbs. Potassium Fertilizer
67,12,0.7,12,32000,100,0.35,0.75,0.32,150,320,145
38,18,0.586958422,38,42256,358,0.546969138,0.4662779336,0.2024601977,216,115,408
90,25,0.598108869,33,30626,615,0.1472192131,0.6032977502,0.8917996832,218,234,372
56,52,0.6476413952,5,46189,962,0.9500651161,0.4487696358,0.964261775,263,412,166
90,54,0.01759430153,27,38962,398,0.3711942891,0.3731885087,0.04965064861,113,396,216
65,16,0.8346961922,29,43332,569,0.9623015479,0.2897911948,0.1939283984,227,410,384
43,58,0.7074779963,22,15993,257,0.7849316738,0.6886448039,0.3992811274,181,153,199
62,17,0.8377617854,32,22766,474,0.3807850563,0.2397630201,0.9126540072,248,496,407
46,24,0.959260625,19,25107,703,0.9574484236,0.2540263351,0.01043753327,190,375,391
37,14,0.0704954179,15,31712,525,0.8860259154,0.08038673994,0.5585921199,244,134,382
55,14,0.4656444208,9,32138,902,0.5233283744,0.6144668494,0.3646998313,182,288,385
27,55,0.6070377653,34,33513,583,0.6903630959,0.1716013113,0.5098229525,138,172,184
55,49,0.9754315513,23,12819,335,0.6481639637,0.2244449549,0.02812312182,152,239,443
70,19,0.6054056088,2,21221,317,0.08012266541,0.2666337736,0.2978993782,251,334,364
63,38,0.1666566899,6,49260,148,0.8601076919,0.4170951702,0.7659543,103,117,166
58,27,0.3935955648,29,20418,799,0.7671530035,0.784948086,0.3392022919,278,344,112
35,12,0.3381467211,11,23618,586,0.9729013372,0.8806762658,0.6992993355,299,435,413
21,46,0.5216722611,19,44878,957,0.816137829,0.501897509,0.8990192213,209,150,345
78,13,0.4663744819,23,45701,997,0.7486219901,0.6988574326,0.006285918042,280,351,440
31,29,0.7857404435,11,20316,753,0.009901899926,0.9575316736,0.8225237199,195,487,247
25,28,0.5288021211,10,42553,509,0.4644548663,0.341551199,0.2979695306,162,323,230
69,18,0.7935924708,12,29401,578,0.04817689293,0.005498991516,0.3381841745,107,350,293
81,18,0.06646137136,20,32860,274,0.6228958117,0.1140417351,0.3209191295,197,359,489
40,35,0.7124900299,37,24379,781,0.9977444059,0.7508844747,0.5924511291,280,302,161
90,39,0.5412401836,6,36880,829,0.6290942707,0.7546419548,0.9574059168,202,145,252
41,53,0.6718639196,29,45415,812,0.08465228166,0.08207944186,0.9991221895,143,163,124
26,27,0.665556299,11,43049,693,0.5371432359,0.9949410783,0.4981059151,175,159,200
68,14,0.001956099036,39,40656,409,0.7628168058,0.2397149347,0.5811924563,275,383,345
45,57,0.05649528832,1,23905,987,0.6079501263,0.7011365877,0.9732812468,138,259,372
89,39,0.2972173122,2,30395,759,0.1376600043,0.5229959194,0.2052781601,261,350,314
87,29,0.04014174501,39,44651,769,0.8282008837,0.5486119006,0.552971937,289,445,348
70,18,0.7836184181,1,18697,456,0.2577460825,0.6825240271,0.5262303939,295,137,484
54,55,0.4361857826,26,24752,621,0.1005579289,0.2528331489,0.00563161941,158,223,442
89,20,0.8343172971,38,12524,756,0.6103066812,0.6453334124,0.9990952981,169,432,450
28,45,0.6537598634,28,23450,770,0.1516765147,0.00517533901,0.2630695661,175,245,455
86,55,0.7701047776,8,25790,138,0.8260885589,0.5532114975,0.01325909542,171,413,321
45,42,0.3770510931,23,19769,334,0.4233323832,0.6192113447,0.8370910082,219,177,293
78,50,0.460862069,29,43549,931,0.1825033051,0.2446253249,0.9549468147,100,217,262
43,27,0.698110671,1,42365,262,0.1537452782,0.7674356393,0.2138003429,217,375,299
22,27,0.2324113272,19,23583,880,0.9183635792,0.08329926639,0.3141082651,129,255,322
48,38,0.4333907061,11,18984,638,0.3462527292,0.7258593964,0.1934702887,175,227,146
60,29,0.3095077272,30,37306,865,0.6746872056,0.7266331298,0.1843790221,267,128,369
72,25,0.9431987203,14,43853,346,0.4204089686,0.9992849443,0.2098778472,204,106,213
27,39,0.4795681281,7,21910,632,0.9496477198,0.0630325974,0.1338823467,278,208,224
29,56,0.4471693692,9,37459,765,0.5902962917,0.6876051879,0.9501365924,149,223,286
36,50,0.9416881927,23,28027,926,0.3066294886,0.1415432718,0.2831468077,288,395,300
21,42,0.2160780324,25,10116,190,0.6946663059,0.1968095965,0.5857589381,163,221,380
76,45,0.8695746262,26,43361,752,0.06676548591,0.7170023396,0.9567374099,168,313,191
76,53,0.2273107186,40,40583,782,0.5761662295,0.9805195712,0.8337816798,128,352,292
70,53,0.1325972084,11,48614,979,0.32493005,0.770697072,0.779093213,179,159,419
28,50,0.7388777038,38,45769,985,0.669424793,0.1112075781,0.09348042074,132,489,130
76,60,0.8130004919,37,17650,650,0.6839325792,0.5060643742,0.9736632479,165,128,486
58,15,0.5902092642,40,38317,167,0.191617035,0.1765314693,0.484050741,180,394,351
49,40,0.6655439096,24,43991,796,0.04799786761,0.3114776281,0.6682447308,148,453,192
31,19,0.9366732024,20,35953,118,0.9501181803,0.9365729733,0.6605943784,106,481,288
69,58,0.8839672526,39,39124,809,0.9552784018,0.7122151634,0.588334515,128,432,129
83,56,0.1127487703,7,20056,703,0.9901885737,0.3827138502,0.4631358543,124,331,295
63,23,0.4715889757,20,18266,678,0.1712593669,0.570235272,0.8735646186,178,152,238
46,34,0.6744013675,19,40011,331,0.03587556404,0.9382979224,0.3939047054,189,311,442
87,12,0.0252967345,27,43712,469,0.8809944661,0.6367151492,0.2285388935,169,345,149
43,22,0.6571225781,14,13255,873,0.3484185519,0.02437024727,0.4938211862,179,382,364
72,37,0.8068139714,34,46802,321,0.6880332093,0.9061409249,0.9266267136,218,336,156
67,14,0.1994002125,2,26543,744,0.3917217917,0.679288215,0.7564642418,297,332,466
50,13,0.9254325269,24,13423,915,0.4909260322,0.1841346737,0.6408866367,186,218,283
22,24,0.9035093013,30,19146,258,0.6916094408,0.3268717666,0.8675997201,244,156,173
42,27,0.2347710235,38,25448,746,0.01295513412,0.4706145355,0.8570422347,108,158,222
63,45,0.3522866429,39,20366,602,0.8766707424,0.7013837988,0.8658001403,273,467,137
39,49,0.9543106588,20,16966,837,0.5152441878,0.5161295551,0.01545017052,166,413,264
56,14,0.7721651946,23,47817,445,0.949985222,0.7857647924,0.5943643996,253,382,400
57,46,0.975605943,12,39076,932,0.8450313647,0.5574837717,0.1777930372,234,270,347
36,13,0.8637691115,19,15107,850,0.9537067721,0.938320933,0.3505927975,262,272,261
32,42,0.5736769571,40,24354,231,0.1364063825,0.3386368417,0.1746786812,139,483,417
69,42,0.7307524709,37,22622,822,0.9275803164,0.06799013995,0.4638089308,257,245,329
66,42,0.6960433296,8,10142,138,0.9763451528,0.1182857015,0.976694414,126,475,112
46,16,0.7786238625,40,27302,742,0.2375318854,0.2742680314,0.1610415717,196,449,180
38,32,0.8844174685,26,11351,264,0.8199333175,0.2348133174,0.6673771153,126,487,468
68,32,0.5657300172,12,30352,218,0.2554607239,0.1591244097,0.7560568025,160,336,165
31,16,0.04586654563,32,35462,1000,0.6401357789,0.7051321604,0.4650312571,158,186,103
75,58,0.2404473697,11,28669,790,0.03458887797,0.5184123146,0.1549079744,118,125,224
54,20,0.9392900656,25,36367,278,0.8436005866,0.2734230924,0.933735078,167,249,199
49,45,0.2483917992,20,18742,552,0.0588859838,0.1623746325,0.875169441,134,341,169
85,48,0.1967220762,11,15444,679,0.09841458074,0.7803171567,0.8939815993,253,321,324
29,49,0.03192944967,3,32787,726,0.5972543215,0.6412699898,0.176735603,172,213,463
31,39,0.6340144873,31,47936,924,0.9854640459,0.9085123702,0.7513356543,101,209,480
69,43,0.04664507924,7,26914,920,0.3947777874,0.9646280848,0.6840674683,300,352,139
31,17,0.3080220639,33,24954,907,0.9944786149,0.4773528095,0.527761822,235,457,220
28,59,0.3952749907,16,10738,146,0.8502269083,0.412338024,0.7120028632,223,315,484
68,21,0.3929991749,18,45153,985,0.8907073126,0.9410932152,0.9347701283,132,171,256
34,29,0.02287889531,25,16971,310,0.9113686429,0.01317862264,0.7930320315,255,179,470
66,46,0.2324145353,1,48602,436,0.5396268998,0.5123777335,0.3594981822,257,194,292
28,29,0.7560345073,11,47353,779,0.3520203608,0.5914003099,0.0309733495,295,247,321
82,19,0.4880533403,4,26465,325,0.9156215116,0.03719030772,0.7429296334,168,246,322
32,56,0.5162810236,35,36456,837,0.04616287546,0.6938221419,0.4963354527,269,386,394
46,19,0.8797363418,5,45615,288,0.8660801406,0.02788985861,0.471649663,159,191,377
38,15,0.04098725151,32,25498,792,0.2281028321,0.5572473195,0.03876577922,223,367,475
20,35,0.6692526624,38,43952,803,0.7440962598,0.9889880367,0.6482400387,290,341,442
84,33,0.1347192575,36,21558,255,0.4113487256,0.266833224,0.4626838077,241,215,447
33,35,0.4835585932,25,20620,184,0.85955019,0.702513342,0.3773773325,290,413,245
76,45,0.3168525408,1,20442,128,0.754607031,0.7077626671,0.8186736409,200,443,121
44,60,0.8466978718,5,30762,208,0.7878221277,0.5669474448,0.04105166954,256,291,388
54,29,0.176811077,10,49920,528,0.8175591214,0.001906011939,0.6650363548,267,122,294
43,48,0.5583802351,25,16521,711,0.4851001179,0.4810171338,0.3325757776,276,291,378
75,55,0.4814886067,34,19614,737,0.1826686513,0.1342759797,0.0950224824,247,349,176
32,60,0.8402256424,38,48620,451,0.315974862,0.4406460273,0.08009104204,251,182,310
46,13,0.2690627819,31,29547,669,0.6573860777,0.05646219497,0.3840002931,203,431,226
83,21,0.5982205292,29,34277,717,0.03888215623,0.7680606369,0.4803526326,292,489,496
72,17,0.7128705108,18,35192,114,0.2733331476,0.9607764825,0.5498602108,168,142,306
77,12,0.7112010574,19,10302,361,0.413471856,0.2447257471,0.25632669,294,309,184
26,40,0.3359680054,36,26832,285,0.1093114756,0.7637996644,0.4363809861,250,139,433
62,37,0.5488062306,36,21813,255,0.8960349991,0.8871493136,0.7805622749,169,118,341
30,36,0.3235217147,38,27739,351,0.8616040521,0.3450270835,0.104534348,196,229,304
90,56,0.9063419355,5,48803,182,0.2389616294,0.4337174314,0.3127969048,162,253,457
61,56,0.8227126451,29,11838,995,0.8307250746,0.3383753663,0.06660199307,239,135,294
90,39,0.7857450149,19,20390,583,0.1814679799,0.03304167769,0.986570194,270,439,446
74,33,0.5792067115,12,28690,530,0.5855884789,0.4638140692,0.922716862,163,174,420
56,54,0.3780951459,34,10319,241,0.6445279978,0.1056430919,0.9568919988,107,253,262
72,42,0.3606410183,22,12975,193,0.4854579454,0.5650865691,0.1935906362,190,292,217
42,39,0.75002196,6,31647,877,0.3654547837,0.8413559573,0.459744959,273,360,290
84,22,0.9205750403,22,37815,485,0.7028283799,0.8485129917,0.005696347184,161,222,223
45,36,0.9994055479,26,42561,504,0.02865980374,0.4791795503,0.3142798121,256,218,291
89,49,0.8048965033,32,45878,281,0.5967678275,0.8177345911,0.9293590292,272,163,413
71,47,0.5298506164,37,12187,367,0.07990448,0.06338336338,0.3592448865,196,472,395
53,37,0.8750792596,3,38844,768,0.6707893734,0.1998460478,0.8337640078,156,222,334
28,50,0.9627883144,23,12781,890,0.3223584762,0.1828006499,0.3051073865,189,415,354
64,55,0.7816569375,13,32742,250,0.8309704146,0.7489259574,0.4778920756,275,199,251
64,23,0.5343564733,29,14932,188,0.463873077,0.6671222234,0.7104868642,150,360,485
31,35,0.7638732813,6,22273,143,0.8921107271,0.2921526723,0.5592782957,258,138,447
60,52,0.4444360768,30,41785,306,0.2553255417,0.9566971613,0.07330829786,222,229,325
61,17,0.5591435161,17,18575,675,0.8999185921,0.2094856443,0.6840876818,158,181,173
21,40,0.9797650683,19,37617,125,0.07832446898,0.9873052228,0.04025488633,115,359,155
53,33,0.09452911571,18,28933,474,0.7176043625,0.7776889044,0.7775008068,134,154,349
34,27,0.623662047,25,20588,736,0.5149921546,0.7794071549,0.2687892485,280,240,447
59,28,0.2020892614,12,39763,932,0.8222890063,0.3900278856,0.6323765966,276,383,345
61,52,0.2027128287,13,48682,689,0.8803441541,0.3176998013,0.6697268124,186,291,345
66,56,0.2852938431,40,11214,667,0.4611219922,0.6204179462,0.8905535043,170,187,261
85,16,0.1763013632,5,25750,963,0.09572398102,0.8109716655,0.3699659028,263,177,331
90,60,0.5836112638,22,48039,493,0.3041439446,0.8306500246,0.7932826419,259,320,290
85,18,0.8279938338,3,19441,154,0.9159552272,0.5782194831,0.3787674383,101,324,172
41,24,0.09024099796,37,30941,967,0.8102936096,0.5264483325,0.5378560461,245,472,212
75,53,0.6077624992,22,27318,745,0.0388539824,0.8930638895,0.3405623105,190,379,404
73,55,0.9114386432,15,19405,329,0.488493573,0.8167852489,0.2835663438,229,316,476
51,50,0.5495010064,23,38811,416,0.2783809939,0.3973919653,0.9956564429,235,242,302
52,44,0.7870532441,33,13664,232,0.6157725871,0.09472232809,0.4931582377,217,258,349
24,44,0.257241204,6,30154,911,0.8862668752,0.6639227167,0.739784445,179,242,457
82,17,0.9772058371,27,22733,578,0.2815916977,0.7700705089,0.8417285054,110,443,193
67,34,0.7333156476,18,42965,248,0.4850442299,0.1274871077,0.5259906541,158,172,124
53,42,0.8503064739,32,38762,749,0.6090056927,0.4867520611,0.8237922829,170,272,337
46,46,0.4891800061,26,44885,361,0.5110788022,0.6320539807,0.9489228739,292,402,258
85,17,0.3580288231,7,26729,390,0.890456212,0.5526561511,0.1255320658,166,156,141
89,12,0.2208445459,24,37248,316,0.7517876769,0.95511649,0.712819614,261,389,238
30,36,0.4630076656,22,43008,489,0.1346793728,0.2081462847,0.9720259747,132,330,367
45,36,0.4913759742,22,48974,532,0.5485260377,0.807546184,0.4401356535,255,216,455
76,56,0.2888395164,37,26638,117,0.1016127712,0.1317038845,0.9118346449,277,446,424
86,34,0.5975988743,38,41226,884,0.6867468015,0.3843734078,0.4171441756,212,276,127
32,38,0.8177725243,32,12381,325,0.4888758242,0.107366057,0.7514061352,292,114,246
33,27,0.2212103915,3,11440,141,0.4284975855,0.7134798276,0.9946071728,205,340,194
60,34,0.8819616455,15,33503,825,0.1953184548,0.7978905638,0.7214058142,123,211,440
72,51,0.799655041,33,30185,840,0.6890001797,0.9525901057,0.923728096,228,136,247
76,12,0.7264106289,29,32686,576,0.9276060335,0.9285928298,0.05274004653,248,422,328
55,13,0.382293978,13,36495,481,0.008215707277,0.7922921202,0.4774746684,182,421,299
65,40,0.7971690155,31,29009,667,0.2225297107,0.09755486549,0.3025367481,122,331,404
74,33,0.2550323723,9,37520,120,0.8185685869,0.09054732739,0.2117429533,183,152,113
83,30,0.5928195898,16,44116,216,0.8527690775,0.7057877657,0.3248691827,227,371,138
58,56,0.8733915882,36,11863,176,0.01938968836,0.3830925605,0.1958586426,226,292,149
74,40,0.3609748213,39,27859,885,0.6736369176,0.8226949552,0.2871324005,280,299,499
61,19,0.8011679887,2,42314,124,0.1045292486,0.559478285,0.383086881,166,179,359
40,12,0.3089721097,23,38253,792,0.09372010132,0.9539667811,0.6346486388,209,152,351
87,33,0.9298109251,5,26852,250,0.9787380848,0.5758064002,0.004029598002,291,293,367
59,21,0.4981587429,29,27343,427,0.3384954366,0.8063449086,0.1816091334,100,431,263
22,12,0.3823648528,5,15067,922,0.176957014,0.8864677602,0.8132878674,178,445,297
53,45,0.1074125789,9,28009,603,0.5825122834,0.001410091761,0.3185528211,203,244,386
56,27,0.1745095757,16,13186,757,0.8640948994,0.346657017,0.1761879686,100,449,235
80,43,0.6715462815,40,20206,607,0.3965411901,0.8929286212,0.672303518,140,475,400
20,47,0.01253377687,15,11901,911,0.7460990374,0.6778541803,0.1807232598,165,388,389
77,23,0.8460627353,22,11888,614,0.06951064114,0.912971961,0.9150855193,179,107,237
89,49,0.01199570228,16,38430,345,0.7303856203,0.4468800831,0.6425303309,233,463,244
64,26,0.3278122874,37,42118,648,0.4837861492,0.2940095854,0.0112313784,172,314,313
69,17,0.6887459829,21,13699,627,0.8086356882,0.6170008865,0.339456527,105,239,113
77,39,0.6122690648,15,23482,481,0.8434585317,0.2798499719,0.212681092,162,256,276
51,32,0.2326673175,36,47301,234,0.5305793861,0.5526961139,0.4782193346,206,387,127
76,36,0.1175890141,4,18965,580,0.6602475609,0.5994256597,0.002917869977,131,272,417
77,44,0.8600576565,1,21538,309,0.536075197,0.3483102429,0.02931325333,140,462,343
46,40,0.9129066367,30,45455,289,0.7062105011,0.6951196758,0.862040617,174,495,430
48,54,0.3485559615,31,40451,920,0.7162936684,0.1894498261,0.5475709063,290,196,138
46,58,0.3974163352,8,11932,371,0.8468719031,0.9921183815,0.8366532618,271,180,243
32,14,0.6937636345,33,23383,228,0.5942747392,0.3136121949,0.6638887126,245,134,326
24,39,0.06598790472,14,34326,677,0.7072279029,0.9970352913,0.0848548981,140,358,205
71,47,0.05351048866,35,23279,561,0.7210485892,0.9164584489,0.9372171632,243,177,413
29,26,0.2290798051,35,49740,394,0.4152726773,0.7120359704,0.7009115304,206,127,117
55,54,0.7376824311,27,39407,612,0.1557764832,0.9400666639,0.9029990933,209,445,329
83,50,0.7266068333,36,28198,147,0.3665665345,0.3435423598,0.5626241057,197,264,411
46,28,0.2916773308,26,29123,712,0.1762374559,0.2014934272,0.2621988253,128,226,154
88,45,0.2686402621,2,47611,933,0.1966091131,0.5303105294,0.7778012764,124,258,223
38,46,0.6522703246,25,14440,242,0.09809184106,0.3804770339,0.4006594909,171,393,303
86,29,0.7661823064,8,14128,964,0.307468285,0.8816438104,0.6097916943,132,298,420
29,41,0.7277035937,27,41667,632,0.6757016406,0.3249527663,0.0978865087,184,350,238
73,52,0.5829658288,22,21515,657,0.2276904197,0.9294793334,0.8453020512,135,343,145
30,43,0.4803073441,37,15912,413,0.831263205,0.2774198471,0.02299158541,224,270,220
21,58,0.9788469676,17,35179,994,0.3808018101,0.1942061876,0.2246675593,289,406,303
63,38,0.9404099403,1,30663,346,0.0893670464,0.5336642478,0.6783251221,106,252,414